pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
TOI-286 c,TOI-286,0.832,0.01170443,0.0117044289247562,0.213,0.0,1,2,39.361826,0.01170443,1.117773065e-05,0.832,0.0,0.213
TOI-4641 b,TOI-4641,1.41,3.87,3.87,0.173,0.074,1,1,22.09341,3.87,0.00369585,1.41,0.074,0.173
TOI-849 b,TOI-849,0.97,0.13151751,0.131517507810433,0.0155,0.0,1,1,0.765548,0.13151751,0.00012559922205,0.97,0.0,0.0155
WD 1856+534 b,WD 1856+534,0.518,13.8,13.8,0.0204,0.0,3,1,1.4079405,13.8,0.013179000000000001,0.518,0.0,0.0204
TOI-5542 b,TOI-5542,0.89,1.32,1.32,0.332,0.018,1,1,75.12375,1.32,0.0012606000000000002,0.89,0.018,0.332
WASP-129 b,WASP-129,1.0,1.0,1.0,0.0628,0.096,2,1,5.748145,1.0,0.000955,1.0,0.096,0.0628
WASP-23 b,WASP-23,0.78,0.884,0.884,0.0376,0.062,1,1,2.9444256,0.884,0.00084422,0.78,0.062,0.0376
TOI-4201 b,TOI-4201,0.61,2.48,2.48,0.04,0.041,1,1,3.5819194,2.48,0.0023684,0.61,0.041,0.04
WASP-44 b,WASP-44,0.935,0.87,0.87,0.03453,0.068,1,1,2.423804,0.87,0.0008308500000000001,0.935,0.068,0.03453
WASP-178 b,WASP-178,2.07,1.66,1.66,0.0558,0.0,1,1,3.3448285,1.66,0.0015853,2.07,0.0,0.0558
HAT-P-13 b,HAT-P-13,1.32,0.851,0.851,0.04383,0.0133,1,2,2.91625,0.851,0.0008127049999999999,1.32,0.0133,0.04383
KELT-2 A b,KELT-2 A,1.54,1.7,1.7,0.05497,0.0,2,1,4.11379,1.7,0.0016235,1.54,0.0,0.05497
TOI-776 c,TOI-776,0.542,0.02170983,0.0217098278443059,0.1001,0.089,1,2,15.665323,0.02170983,2.073288765e-05,0.542,0.089,0.1001
NGTS-2 b,NGTS-2,1.64,0.74,0.74,0.063,0.0,1,1,4.511164,0.74,0.0007067,1.64,0.0,0.063
TOI-2818 b,TOI-2818,0.977,0.71,0.71,0.0493,0.0,1,1,4.039709,0.71,0.0006780499999999999,0.977,0.0,0.0493
TOI-2842 b,TOI-2842,1.135,0.37,0.37,0.0475,0.0,1,1,3.5514058,0.37,0.00035335,1.135,0.0,0.0475
HD 66141 b,HD 66141,1.1,6.0,,1.2,0.07,1,1,480.5,6.0,0.00573,1.1,0.07,1.2
HD 95127 b,HD 95127,3.7,10.63,,1.28,0.11,1,1,482.0,10.63,0.010151650000000002,3.7,0.11,1.28
OGLE-TR-56 b,OGLE-TR-56,1.17,1.39,1.39,0.02383,0.67,1,1,1.2119189,1.39,0.00132745,1.17,0.67,0.02383
TOI-628 b,TOI-628,1.311,6.33,6.33,0.0486,0.072,1,1,3.4095675,6.33,0.00604515,1.311,0.072,0.0486
HD 110082 b,HD 110082,1.21,0.0325,,0.113,0.2,2,1,10.18271,0.0325,3.10375e-05,1.21,0.2,0.113
HD 69830 c,HD 69830,0.86,0.0371,,0.186,0.13,1,3,31.56,0.0371,3.54305e-05,0.86,0.13,0.186
HD 69830 d,HD 69830,0.86,0.057,,0.63,0.07,1,3,197.0,0.057,5.4435e-05,0.86,0.07,0.63
Kepler-156 c,Kepler-156,0.864,0.0221,,0.117,0.0,1,2,15.906801,0.0221,2.1105500000000003e-05,0.864,0.0,0.117
Kepler-1568 b,Kepler-1568,1.09,0.00705,,0.15157,0.0,1,1,20.925392,0.00705,6.73275e-06,1.09,0.0,0.15157
Kepler-157 b,Kepler-157,0.95,0.00724,,0.028,0.0,1,3,1.732342,0.00724,6.9142e-06,0.95,0.0,0.028
KOI-2513.01,KOI-2513,0.91,23.0,23.0,0.5,0.36,1,1,19.00547,23.0,0.021965000000000002,0.91,0.36,0.5
Kepler-1007 b,Kepler-1007,0.73,0.00839,,0.048,0.0,1,1,5.185002073,0.00839,8.01245e-06,0.73,0.0,0.048
Kepler-1117 b,Kepler-1117,0.95,0.00444,,0.05485,0.0,1,1,4.79028459,0.00444,4.2402000000000005e-06,0.95,0.0,0.05485
Kepler-1597 b,Kepler-1597,1.25,0.00377,,0.04136,0.0,1,1,2.94654179,0.00377,3.6003499999999998e-06,1.25,0.0,0.04136
Kepler-1501 b,Kepler-1501,1.2,0.00961,,0.11592,0.0,1,1,14.5564533,0.00961,9.17755e-06,1.2,0.0,0.11592
Kepler-1505 b,Kepler-1505,0.93,0.00236,,0.18298,0.0,1,1,30.8609366,0.00236,2.2538000000000003e-06,0.93,0.0,0.18298
Kepler-1513 b,Kepler-1513,0.943,0.152,0.152,0.56971,0.306,1,2,160.8842,0.152,0.00014516,0.943,0.306,0.56971
Kepler-381 c,Kepler-381,1.144,0.00459,,0.117,0.0,1,3,13.391635,0.00459,4.38345e-06,1.144,0.0,0.117
